id_ansi,titre,type_bulletin,date_pub,cve_id,cvss_score,base_severity,cwe_id,epss_score,lien_bulletin,description,vendor,produit,versions
CERTFR-2025-AVI-0392,Multiples vulnérabilités dans Mattermost Server (13 mai 2025),avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-4128,3.1,Moyenne,CWE-863,0.000210000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0392,"Mattermost versions 10.5.x <= 10.5.4, 9.11.x <= 9.11.13 fail to properly restrict API access to team information, allowing guest users to bypass permissions and view information about public teams they are not members of via a direct API call to /api/v4/teams/{team_id}.",Mattermost,Mattermost,10.5.0; 9.11.0
CERTFR-2025-AVI-0392,Multiples vulnérabilités dans Mattermost Server (13 mai 2025),avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-4573,4.1,Moyenne,CWE-90,0.000220000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0392,"Mattermost versions 10.7.x <= 10.7.1, 10.6.x <= 10.6.3, 10.5.x <= 10.5.4, 9.11.x <= 9.11.13 fail to properly validate LDAP group ID attributes, allowing an authenticated administrator with PermissionSysconsoleWriteUserManagementGroups permission to execute LDAP search filter injection via the PUT /api/v4/ldap/groups/{remote_id}/link API when objectGUID is configured as the Group ID Attribute.",Mattermost,Mattermost,10.5.0; 10.6.0; 10.7.0; 9.11.0
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2024-39592,7.7,Élevée,CWE-862,0.001360000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396,"Elements of PDCE does not perform necessary
authorization checks for an authenticated user, resulting in escalation of
privileges.



This
allows an attacker to read sensitive information causing high impact on the
confidentiality of the application.",SAP_SE,SAP PDCE,S4CORE 102; S4CORE 103; S4COREOP 104; S4COREOP 105; S4COREOP 106; S4COREOP 107; S4COREOP 108
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-0060,6.5,Élevée,CWE-94,0.000380000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396,SAP BusinessObjects Business Intelligence Platform allows an authenticated user with restricted access to inject malicious JS code which can read sensitive information from the server and send it to the attacker. The attacker could further use this information to impersonate as a high privileged user causing high impact on confidentiality and integrity of the application.,SAP_SE,SAP BusinessObjects Business Intelligence Platform,2025; 430; ENTERPRISE 420
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-0061,8.7,Critique,CWE-497,0.000490000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396,"SAP BusinessObjects Business Intelligence Platform allows an unauthenticated attacker to perform session hijacking over the network without any user interaction, due to an information disclosure vulnerability. Attacker can access and modify all the data of the application.",SAP_SE,SAP BusinessObjects Business Intelligence Platform,2025; 430; ENTERPRISE 420
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-23191,3.1,Moyenne,CWE-644,0.000500000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396,Cached values belonging to the SAP OData endpoint in SAP Fiori for SAP ERP could be poisoned by modifying the Host header value in an HTTP GET request. An attacker could alter the `atom:link` values in the returned metadata redirecting them from the SAP server to a malicious link set by the attacker. Successful exploitation could cause low impact on integrity of the application.,SAP_SE,SAP Fiori for SAP ERP,750; 751; 752; 753; 754; 755; 756; 757; 758; SAP_GWFND 740
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-26662,4.4,Moyenne,CWE-79,0.000340000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396,"The Data Services Management Console does not sufficiently encode user-controlled inputs, allowing an attacker to inject malicious script. When a targeted victim, who is already logged in, clicks on the compromised link, the injected script gets executed within the scope of victim�s browser. This potentially leads to an impact on confidentiality and integrity. Availability is not impacted.",SAP_SE,SAP Data Services Management Console,SBOP DS JOB SERVER 4.3
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-30009,6.1,Élevée,CWE-79,0.001160000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396,"he Live Auction Cockpit in SAP Supplier Relationship Management (SRM) uses a deprecated java applet component within the affected SRM packages which allows an unauthenticated attacker to execute malicious script in the victim�s browser. This vulnerability has low impact on confidentiality and integrity within the scope of that victim�s browser, with no effect on availability of the application",SAP_SE,SAP Supplier Relationship Management (Live Auction Cockpit),SRM_SERVER 7.14
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-30010,6.1,Élevée,CWE-601,0.000810000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396,"The Live Auction Cockpit in SAP Supplier Relationship Management (SRM) uses a deprecated java applet component within the affected SRM packages which allows an unauthenticated attacker to craft a malicious link, which when clicked by a victim, redirects the browser to a malicious site. On successful exploitation, the attacker could cause low impact on confidentiality and integrity with no impact on the availability of the application.",SAP_SE,SAP Supplier Relationship Management (Live Auction Cockpit),SRM_SERVER 7.14
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-30011,5.3,Moyenne,CWE-497,0.000550000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396,"The Live Auction Cockpit in SAP Supplier Relationship Management (SRM) uses a deprecated java applet component within the affected SRM packages which allows an unauthenticated attacker to send an malicious request to the application, which could disclose the internal version details of the affected system. This vulnerability has low impact on confidentiality, with no effect on integrity and availability of the application.",SAP_SE,SAP Supplier Relationship Management (Live Auction Cockpit),SRM_SERVER 7.14
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-30012,3.9,Moyenne,CWE-502,0.000480000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396,"The Live Auction Cockpit in SAP Supplier Relationship Management (SRM) uses a deprecated java applet component within the affected SRM stack to accept binary Java objects in specific encoding format. On successful exploitation, an authenticated attacker with high privileges could send malicious payload request and receive an outbound DNS request, resulting in deserialization of data in the application. This vulnerability has low impact on confidentiality, integrity and availability of the application.",SAP_SE,SAP Supplier Relationship Management (Live Auction Cockpit),SRM_SERVER 7.14
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-30018,8.6,Critique,CWE-611,0.000850000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396,"The Live Auction Cockpit in SAP Supplier Relationship Management (SRM) allows an unauthenticated attacker to submit an application servlet request with a crafted XML file which when parsed, enables the attacker to access sensitive files and data. This vulnerability has a high impact on the application's confidentiality, with no effect on integrity and availability of the application.",SAP_SE,SAP Supplier Relationship Management (Live Auction Cockpit),SRM_SERVER 7.14
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-31324,10.0,Critique,CWE-434,0.744460000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396,"SAP NetWeaver Visual Composer Metadata Uploader is not protected with a proper authorization, allowing unauthenticated agent to upload potentially malicious executable binaries that could severely harm the host system. This could significantly affect the confidentiality, integrity, and availability of the targeted system.",SAP_SE,SAP NetWeaver (Visual Composer development server),VCFRAMEWORK 7.50
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-31329,6.2,Élevée,CWE-141,0.000390000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396,"SAP NetWeaver is vulnerable to an Information Disclosure vulnerability caused by the injection of malicious instructions into user configuration settings. An attacker with administrative privileges can craft these instructions so that when accessed by the victim, sensitive information such as user credentials is exposed. These credentials may then be used to gain unauthorized access to local or adjacent systems. This results in high impact to Confidentiality, with no significant effect on Integrity or Availability.",SAP_SE,SAP NetWeaver Application Server ABAP and ABAP Platform,SAP_BASIS 700; SAP_BASIS 701; SAP_BASIS 702; SAP_BASIS 731; SAP_BASIS 740; SAP_BASIS 750; SAP_BASIS 751; SAP_BASIS 752; SAP_BASIS 753; SAP_BASIS 754; SAP_BASIS 755; SAP_BASIS 756; SAP_BASIS 757; SAP_BASIS 758
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-42997,6.6,Élevée,CWE-732,0.000450000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396,"Under certain conditions, SAP Gateway Client allows a high-privileged user to access restricted information beyond the scope of the application. Due to the possibility of influencing application behavior or performance through misuse of the exposed data, this may potentially lead to low impact on confidentiality, integrity, and availability.",SAP_SE,SAP Gateway Client,753; 754; 755; 756; 757; 758; SAP_GWFND 752
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-42999,9.1,Critique,CWE-502,0.141970000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396,"SAP NetWeaver Visual Composer Metadata Uploader is vulnerable when a privileged user can upload untrusted or malicious content which, when deserialized, could potentially lead to a compromise of confidentiality, integrity, and availability of the host system.",SAP_SE,SAP NetWeaver (Visual Composer development server),VCFRAMEWORK 7.50
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-43000,7.9,Élevée,CWE-862,0.000160000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396,Under certain conditions Promotion Management Wizard (PMW) allows an attacker to access information which would otherwise be restricted.This has High impact on Confidentiality with Low impact on Integrity and Availability of the application.,SAP_SE,SAP Business Objects Business Intelligence Platform (PMW),2025; 2027; ENTERPRISE 430
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-43002,4.3,Moyenne,CWE-472,0.000350000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396,SAP S4CORE OData meta-data property allows an authenticated attacker to access restricted information due to missing authorization check. This could cause a low impact on confidentiality but integrity and availability of the application are not impacted.,SAP_SE,SAP S4/HANA (OData meta-data property),103; 104; 105; 106; S4CORE 102
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-43003,6.4,Élevée,CWE-749,0.000530000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396,SAP S/4 HANA allows an authenticated attacker with user privileges to configure a field not intended for their access and create a custom UI layout displaying this field. On performing this step the attacker could gain access to highly sensitive information. This could cause a high impact on confidentiality and minimal impact on integrity and availability of the application.,SAP_SE,SAP S/4HANA (Private Cloud & On-Premise),108; 205; 206; 712; 713; 714; BBPCRM 702; S4CEXT 107; S4CRM 204
